n,n_low,n_high,control_rate,accuracy,balanced_accuracy,sensitivity,specificity,fn,fp,remaining_error_n,domain,policy,control_rate_ci025,control_rate_ci975,accuracy_ci025,accuracy_ci975,balanced_accuracy_ci025,balanced_accuracy_ci975,sensitivity_ci025,sensitivity_ci975,specificity_ci025,specificity_ci975,fn_ci025,fn_ci975,fp_ci025,fp_ci975,remaining_error_n_ci025,remaining_error_n_ci975,accuracy_wilson_low,accuracy_wilson_high,sensitivity_wilson_low,sensitivity_wilson_high,specificity_wilson_low,specificity_wilson_high,balanced_accuracy_wilson_low,balanced_accuracy_wilson_high,control_rate_wilson_low,control_rate_wilson_high
285,144,141,0.7263157894736842,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0,1,1,old_data,v50_main,0.6771929824561403,0.7719298245614035,0.9894736842105263,1.0,0.9895833333333333,1.0,1.0,1.0,0.9791666666666666,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.9803958984204053,0.9993803468438858,0.9734781819240744,1.0,0.9617152764243428,0.9987730813929403,0.9675967291742087,0.9993865406964701,0.6718009644121317,0.7748108222984463
285,144,141,0.7473684210526316,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0,1,1,old_data,v75_quality_lowconf,0.7017543859649122,0.7929824561403509,0.9894736842105263,1.0,0.9895833333333333,1.0,1.0,1.0,0.9791666666666666,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.9803958984204053,0.9993803468438858,0.9734781819240744,1.0,0.9617152764243428,0.9987730813929403,0.9675967291742087,0.9993865406964701,0.693860066061276,0.7942970031340068
285,144,141,0.7719298245614035,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0,1,1,old_data,v79_light_lowrisk_guard,0.7263157894736842,0.8175438596491228,0.9894736842105263,1.0,0.9895833333333333,1.0,1.0,1.0,0.9791666666666666,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.9803958984204053,0.9993803468438858,0.9734781819240744,1.0,0.9617152764243428,0.9987730813929403,0.9675967291742087,0.9993865406964701,0.7197898962712949,0.8168366691561436
285,144,141,0.8210526315789474,1.0,1.0,1.0,1.0,0,0,0,old_data,v79_strict_lowrisk_guard,0.7789473684210526,0.8631578947368421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867004590117419,1.0,0.9734781819240744,1.0,0.9740163628569632,1.0,0.9737472723905188,1.0,0.7723725384120688,0.8611930194796812
306,224,82,0.7254901960784313,0.9705882352941176,0.9528527874564461,0.9146341463414634,0.9910714285714286,7,2,9,third_batch,v50_main,0.6764705882352942,0.7745098039215687,0.9509803921568627,0.9869281045751634,0.9201328397212544,0.9811084494773519,0.8536585365853658,0.9634146341463414,0.9776785714285714,1.0,3.0,12.0,0.0,5.0,4.0,15.0,0.9450569446187931,0.9844506851741139,0.8341245443721832,0.9580334750067581,0.968035666199927,0.9975480389726019,0.9010801052860551,0.97779075698968,0.6729254929216463,0.7724635796874549
306,224,82,0.7679738562091504,0.9771241830065359,0.9650479094076655,0.9390243902439024,0.9910714285714286,5,2,7,third_batch,v75_quality_lowconf,0.7189542483660131,0.8137254901960784,0.9607843137254902,0.9934640522875817,0.9367772756968641,0.9894381533101045,0.8902439024390244,0.9878048780487805,0.9776785714285714,1.0,1.0,9.0,0.0,5.0,2.0,12.0,0.9535417465456082,0.9888757114388671,0.8650795049984596,0.9736760449321838,0.968035666199927,0.9975480389726019,0.9165575855991933,0.9856120419523928,0.7175318056692265,0.811771150185068
306,224,82,0.7941176470588235,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,5,0,5,third_batch,v79_light_lowrisk_guard,0.7483660130718954,0.8366013071895425,0.9673202614379085,0.9967320261437909,0.9390243902439024,0.9939024390243902,0.8780487804878049,0.9878048780487805,1.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0.9623263777276142,0.9930009084484291,0.8650795049984596,0.9736760449321838,0.9831397725393022,1.0,0.924109638768881,0.986838022466092,0.7453011316324694,0.8356411369880974
306,224,82,0.8137254901960784,0.9836601307189542,0.9695121951219512,0.9390243902439024,1.0,5,0,5,third_batch,v79_strict_lowrisk_guard,0.7712418300653595,0.8562091503267973,0.9673202614379085,0.9967320261437909,0.9390243902439024,0.9939024390243902,0.8780487804878049,0.9878048780487805,1.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0.9623263777276142,0.9930009084484291,0.8650795049984596,0.9736760449321838,0.9831397725393022,1.0,0.924109638768881,0.986838022466092,0.7663112399264413,0.85336051326883
108,61,47,0.7314814814814815,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,1,2,3,strict_external,v50_main,0.6388888888888888,0.8148148148148148,0.9351851851851852,1.0,0.9377397976979421,1.0,0.9361702127659575,1.0,0.9180327868852459,1.0,0.0,3.0,0.0,5.0,0.0,7.0,0.9214966112497636,0.9905086601007103,0.8888701895837066,0.9962342319614031,0.8881050958050438,0.9909621096016376,0.8884876426943752,0.9935981707815204,0.6410104214214319,0.8060509861033102
108,61,47,0.7962962962962963,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0,2,2,strict_external,v75_quality_lowconf,0.7129629629629629,0.8703703703703703,0.9537037037037037,1.0,0.959016393442623,1.0,1.0,1.0,0.9180327868852459,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.9349809519962324,0.9949067756552312,0.9244423958360036,1.0,0.8881050958050438,0.9909621096016376,0.9062737458205237,0.9954810548008188,0.7107866710637564,0.8614519305679135
108,61,47,0.8240740740740741,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0,1,1,strict_external,v79_light_lowrisk_guard,0.75,0.8888888888888888,0.9722222222222222,1.0,0.9754098360655737,1.0,1.0,1.0,0.9508196721311475,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.9494065448063366,0.9983636391461165,0.9244423958360036,1.0,0.912811399553584,0.9971002692007002,0.9186268976947938,0.99855013460035,0.7415045937948217,0.8843813767398172
108,61,47,0.8703703703703703,1.0,1.0,1.0,1.0,0,0,0,strict_external,v79_strict_lowrisk_guard,0.8055555555555556,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9656526402534428,0.9999999999999998,0.9244423958360036,1.0,0.9407561321018872,1.0,0.9325992639689454,1.0,0.7941109641580332,0.9211872878815541
