accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,mode,corrector,route_col,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
0.8526315789473684,0.8526891252955082,0.852112676056338,122,22,20,121,0.8677600472813239,nested_route,dino_student_teacher_prob_ridge,route_score__best41_fn__model_visible__extra,18,0.06315789473684211,267,0.8764044943820225,0.5,11,0.16923076923076924,7,2,5
0.8421052631578947,0.84197695035461,0.8387096774193549,123,21,24,117,0.8474684791174153,nested_route,dino_student_true_logreg_c01,route_score__best41_fn__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,9,0.13846153846153847,3,1,2
0.8421052631578947,0.84197695035461,0.8387096774193549,123,21,24,117,0.8517040977147359,nested_route,dino_student_teacher_pred_logreg_c003,route_score__best41_fn__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,9,0.13846153846153847,3,1,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.8378644602048857,nested_route,dino_student_true_logreg_c003,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.8370271867612293,nested_route,dino_student_true_logreg_c01,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.833136327817179,nested_route,dino_student_teacher_pred_logreg_c003,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.8283096926713949,nested_route,dino_student_teacher_pred_logreg_c01,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.8703703703703702,nested_route,dino_student_teacher_pred_extra,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.8699763593380615,nested_route,dino_student_teacher_pred_rf,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8421052631578947,0.8417553191489362,0.8351648351648352,126,18,27,114,0.8435283687943262,nested_route,dino_student_teacher_prob_ridge,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.2857142857142857,12,0.18461538461538463,2,0,2
0.8385964912280702,0.8382830969267139,0.8321167883211679,125,19,27,114,0.869779353821907,nested_route,dino_student_teacher_prob_extra_reg,route_score__best41_fp__model_visible__extra,14,0.04912280701754386,271,0.8708487084870848,0.21428571428571427,12,0.18461538461538463,1,0,1
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,0.8359436564223799,nested_route,dino_student_true_logreg_c003,route_score__hard_core__model_visible__extra,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,0.8359436564223799,nested_route,dino_student_true_logreg_c003,route_score__hard_core__model_visible__logreg,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,0.8359436564223799,nested_route,dino_student_true_logreg_c003,route_score__best41_wrong__model_visible__extra,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,0.8289499605988967,nested_route,dino_student_true_logreg_c003,route_score__best41_fn__model_visible__extra,3,0.010526315789473684,282,0.8439716312056738,0.0,3,0.046153846153846156,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,0.8359436564223799,nested_route,dino_student_true_logreg_c003,route_score__best41_fn__model_visible__logreg,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,0.8359436564223799,nested_route,dino_student_true_logreg_c01,route_score__hard_core__model_visible__extra,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
