accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,apply_scope,routed_n,routed_acc,pass_acc,rescue_n,hurt_n,net_rescue,mode,corrector,feature_set,train_scope,classifier,c,corrector_all_acc,corrector_all_bacc
0.9403508771929825,0.9401595744680851,0.9386281588447654,138,6,11,130,0.9572990543735225,hard_core,65,1.0,0.9227272727272727,30,0,30,oracle_scope,model_hard_core_logreg_c003,model,hard_core,logreg,0.03,0.2912280701754386,0.291371158392435
0.9403508771929825,0.9401595744680851,0.9386281588447654,138,6,11,130,0.9588258471237194,hard_core,65,1.0,0.9227272727272727,30,0,30,oracle_scope,model_hard_core_logreg_c01,model,hard_core,logreg,0.1,0.29473684210526313,0.2947695035460993
0.9403508771929825,0.9401595744680851,0.9386281588447654,138,6,11,130,0.9590228526398739,hard_core,65,1.0,0.9227272727272727,30,0,30,oracle_scope,model_hard_core_logreg_c03,model,hard_core,logreg,0.3,0.2912280701754386,0.29129728132387706
0.9403508771929825,0.9401595744680851,0.9386281588447654,138,6,11,130,0.9578900709219859,hard_core,65,1.0,0.9227272727272727,30,0,30,oracle_scope,model_hard_core_extra,model,hard_core,extra,0.1,0.2912280701754386,0.29129728132387706
0.9403508771929825,0.9401595744680851,0.9386281588447654,138,6,11,130,0.9516843971631206,hard_core,65,1.0,0.9227272727272727,30,0,30,oracle_scope,model_hard_all_logreg_c001,model,hard_all,logreg,0.01,0.30526315789473685,0.3048906619385343
0.9403508771929825,0.9401595744680851,0.9386281588447654,138,6,11,130,0.9560677698975572,hard_core,65,1.0,0.9227272727272727,30,0,30,oracle_scope,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.9368421052631579,0.936613475177305,0.9347826086956522,138,6,12,129,0.9523739164696612,hard_core,65,0.9846153846153847,0.9227272727272727,30,1,29,oracle_scope,model_hard_core_logreg_c001,model,hard_core,logreg,0.01,0.2912280701754386,0.29129728132387706
0.9368421052631579,0.936613475177305,0.9347826086956522,138,6,12,129,0.947695035460993,hard_core,65,0.9846153846153847,0.9227272727272727,30,1,29,oracle_scope,dino_model_hard_core_extra,dino_model,hard_core,extra,0.1,0.2807017543859649,0.2809544917257683
0.9368421052631579,0.936613475177305,0.9347826086956522,138,6,12,129,0.9393223010244288,hard_core,65,0.9846153846153847,0.9227272727272727,30,1,29,oracle_scope,dino_model_hard_all_extra,dino_model,hard_all,extra,0.1,0.3017543859649123,0.30149231678487
0.9333333333333333,0.9331412529550827,0.9314079422382672,137,7,12,129,0.9561662726556345,hard_core,65,0.9692307692307692,0.9227272727272727,29,1,28,oracle_scope,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.9333333333333333,0.9331412529550827,0.9314079422382672,137,7,12,129,0.9557230102442869,hard_core,65,0.9692307692307692,0.9227272727272727,29,1,28,oracle_scope,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.9333333333333333,0.9331412529550827,0.9314079422382672,137,7,12,129,0.9530634357762018,hard_core,65,0.9692307692307692,0.9227272727272727,28,0,28,oracle_scope,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.9298245614035088,0.9295951536643026,0.927536231884058,137,7,13,128,0.9400610717100077,hard_core,65,0.9538461538461539,0.9227272727272727,27,0,27,oracle_scope,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.9298245614035088,0.9295951536643026,0.927536231884058,137,7,13,128,0.9445429472025216,hard_core,65,0.9538461538461539,0.9227272727272727,27,0,27,oracle_scope,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.9263157894736842,0.9262706855791962,0.9252669039145908,134,10,11,130,0.9579393223010244,hard_all,99,0.8787878787878788,0.9516129032258065,27,1,26,oracle_scope,model_non_easy_extra,model,non_easy,extra,0.1,0.3894736842105263,0.3894799054373522
0.9263157894736842,0.9261968085106382,0.9247311827956989,135,9,12,129,0.941686367218282,hard_core,65,0.9384615384615385,0.9227272727272727,26,0,26,oracle_scope,model_non_easy_extra,model,non_easy,extra,0.1,0.3894736842105263,0.3894799054373522
0.9228070175438596,0.9225768321513002,0.9202898550724637,136,8,14,127,0.9403565799842396,hard_core,65,0.9230769230769231,0.9227272727272727,25,0,25,oracle_scope,model_non_easy_logreg_c03,model,non_easy,logreg,0.3,0.37894736842105264,0.3786199763593381
0.9228070175438596,0.9225029550827423,0.9197080291970803,137,7,15,126,0.9617316784869977,hard_all,99,0.8686868686868687,0.9516129032258065,33,8,25,oracle_scope,model_hard_all_extra,model,hard_all,extra,0.1,0.3157894736842105,0.31530732860520094
0.9157894736842105,0.9156323877068557,0.9136690647482014,134,10,14,127,0.9501576044129235,hard_all,99,0.8484848484848485,0.9516129032258065,35,12,23,oracle_scope,dino_model_hard_all_extra,dino_model,hard_all,extra,0.1,0.3017543859649123,0.30149231678487
0.9157894736842105,0.9155585106382979,0.9130434782608695,135,9,15,126,0.9623719464144996,hard_all,99,0.8484848484848485,0.9516129032258065,33,10,23,oracle_scope,model_hard_all_logreg_c001,model,hard_all,logreg,0.01,0.30526315789473685,0.3048906619385343
0.9157894736842105,0.9155585106382979,0.9130434782608695,135,9,15,126,0.954294720252167,hard_all,99,0.8484848484848485,0.9516129032258065,32,9,23,oracle_scope,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.9157894736842105,0.91548463356974,0.9124087591240876,136,8,16,125,0.9575453112687156,hard_all,99,0.8484848484848485,0.9516129032258065,27,4,23,oracle_scope,model_non_easy_logreg_c001,model,non_easy,logreg,0.01,0.3508771929824561,0.3502511820330969
0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9479412923561861,hard_all,99,0.8383838383838383,0.9516129032258065,36,14,22,oracle_scope,model_hard_core_logreg_c01,model,hard_core,logreg,0.1,0.29473684210526313,0.2947695035460993
0.9122807017543859,0.9123817966903074,0.9122807017543859,130,14,11,130,0.9579393223010244,hard_all,99,0.8383838383838383,0.9516129032258065,35,13,22,oracle_scope,model_hard_core_extra,model,hard_core,extra,0.1,0.2912280701754386,0.29129728132387706
0.9122807017543859,0.9121601654846336,0.910394265232975,133,11,14,127,0.9407013396375099,hard_all,99,0.8383838383838383,0.9516129032258065,30,8,22,oracle_scope,model_hard_all_logreg_c03,model,hard_all,logreg,0.3,0.32280701754385965,0.32254728132387706
0.9122807017543859,0.9120124113475176,0.9090909090909091,135,9,16,125,0.9429176516942475,hard_core,65,0.8769230769230769,0.9227272727272727,22,0,22,oracle_scope,model_non_easy_logreg_c01,model,non_easy,logreg,0.1,0.35789473684210527,0.35763888888888884
0.9087719298245615,0.9089095744680851,0.9090909090909091,129,15,11,130,0.9412923561859732,hard_all,99,0.8282828282828283,0.9516129032258065,35,14,21,oracle_scope,model_hard_core_logreg_c03,model,hard_core,logreg,0.3,0.2912280701754386,0.29129728132387706
0.9087719298245615,0.9086879432624113,0.9071428571428571,132,12,14,127,0.9435579196217494,hard_all,99,0.8282828282828283,0.9516129032258065,26,5,21,oracle_scope,model_non_easy_logreg_c03,model,non_easy,logreg,0.3,0.37894736842105264,0.3786199763593381
0.9087719298245615,0.9085401891252955,0.9057971014492754,134,10,16,125,0.961042159180457,hard_all,99,0.8282828282828283,0.9516129032258065,32,11,21,oracle_scope,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.9052631578947369,0.9054373522458629,0.9059233449477352,128,16,11,130,0.9564125295508273,hard_all,99,0.8181818181818182,0.9516129032258065,36,16,20,oracle_scope,model_hard_core_logreg_c003,model,hard_core,logreg,0.03,0.2912280701754386,0.291371158392435
0.9052631578947369,0.905363475177305,0.9052631578947369,129,15,12,129,0.9581363278171788,hard_all,99,0.8181818181818182,0.9516129032258065,36,16,20,oracle_scope,model_hard_core_logreg_c001,model,hard_core,logreg,0.01,0.2912280701754386,0.29129728132387706
0.9052631578947369,0.905289598108747,0.9045936395759717,130,14,13,128,0.9521769109535066,hard_all,99,0.8181818181818182,0.9516129032258065,26,6,20,oracle_scope,model_non_easy_logreg_c01,model,non_easy,logreg,0.1,0.35789473684210527,0.35763888888888884
0.9052631578947369,0.9052157210401891,0.9039145907473309,131,13,14,127,0.9580870764381402,hard_all,99,0.8181818181818182,0.9516129032258065,28,8,20,oracle_scope,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.8982456140350877,0.897975768321513,0.8945454545454545,133,11,18,123,0.9271572104018913,hard_core,65,0.8153846153846154,0.9227272727272727,27,9,18,oracle_scope,dino_model_hard_all_logreg_c003,dino_model,hard_all,logreg,0.03,0.2982456140350877,0.2980200945626478
0.8982456140350877,0.897975768321513,0.8945454545454545,133,11,18,123,0.9278467297084318,hard_core,65,0.8153846153846154,0.9227272727272727,27,9,18,oracle_scope,dino_model_hard_all_logreg_c01,dino_model,hard_all,logreg,0.1,0.3087719298245614,0.3087322695035461
0.8982456140350877,0.897975768321513,0.8945454545454545,133,11,18,123,0.9208037825059101,hard_core,65,0.8153846153846154,0.9227272727272727,27,9,18,oracle_scope,dino_model_hard_all_logreg_c03,dino_model,hard_all,logreg,0.3,0.2912280701754386,0.29114952718676124
0.8947368421052632,0.8950206855791962,0.896551724137931,125,19,11,130,0.9575945626477541,hard_all,99,0.7878787878787878,0.9516129032258065,36,19,17,oracle_scope,dino_model_hard_core_extra,dino_model,hard_core,extra,0.1,0.2807017543859649,0.2809544917257683
0.8912280701754386,0.8913268321513002,0.8912280701754386,127,17,14,127,0.9294227738376675,hard_core,65,0.7846153846153846,0.9227272727272727,22,6,16,oracle_scope,dino_model_non_easy_extra,dino_model,non_easy,extra,0.1,0.32280701754385965,0.32328605200945626
0.8842105263157894,0.88423463356974,0.8833922261484098,127,17,16,125,0.9258274231678487,hard_core,65,0.7538461538461538,0.9227272727272727,24,10,14,oracle_scope,dino_model_hard_all_logreg_c001,dino_model,hard_all,logreg,0.01,0.28421052631578947,0.2847222222222222
