policy,eval_domain,flip_budget,n,flip_n,flip_rate,base_errors,flip_errors,net_errors_reduced,rescued_by_flip,hurt_by_flip,rescued_fn_by_flip,rescued_fp_by_flip,hurt_to_fn_by_flip,hurt_to_fp_by_flip,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,auto_flip_n,auto_flip_accuracy,auto_flip_balanced_accuracy,auto_flip_f1,auto_flip_sensitivity_high,auto_flip_specificity_low,auto_flip_tn,auto_flip_fp,auto_flip_fn,auto_flip_tp,auto_flip_auc
shift_aware_image_directional_candidate,all_three_domains,0.3,696,210,0.3017241379310345,136,224,-88,61,149,29,32,67,82,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.6781609195402298,0.6591027647365675,0.5805243445692884,0.5740740740740741,0.744131455399061,317,109,115,155,0.8477743001217182
baseline_low_conf_dev_selected,all_three_domains,0.4,696,278,0.3994252873563218,177,217,-40,119,159,38,81,61,98,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.6882183908045977,0.6869848721961398,0.629059829059829,0.6814814814814815,0.6924882629107981,295,131,86,184,0.8353069031472786
shift_aware_concept_directional_candidate,all_three_domains,0.4,696,278,0.3994252873563218,155,249,-94,92,186,41,51,72,114,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.6422413793103449,0.6351851851851852,0.5669565217391305,0.6037037037037037,0.6666666666666666,284,142,107,163,0.8481481481481483
dev_stable_router_all_domains,all_three_domains,0.4,696,278,0.3994252873563218,136,266,-130,74,204,41,33,80,124,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.617816091954023,0.6091288471570162,0.5365853658536586,0.5703703703703704,0.647887323943662,276,150,116,154,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.4,696,278,0.3994252873563218,136,266,-130,74,204,35,39,89,115,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.617816091954023,0.5989567031820553,0.5110294117647058,0.5148148148148148,0.6830985915492958,291,135,131,139,0.8477743001217182
baseline_low_conf_dev_selected,all_three_domains,0.5,696,347,0.4985632183908046,177,254,-77,135,212,44,91,84,128,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.6350574712643678,0.6320292123109024,0.5680272108843537,0.6185185185185185,0.6455399061032864,275,151,103,167,0.8353069031472786
shift_aware_concept_directional_candidate,all_three_domains,0.5,696,347,0.4985632183908046,155,296,-141,103,244,48,55,93,151,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.5747126436781609,0.570526864893062,0.5016835016835017,0.5518518518518518,0.5892018779342723,251,175,121,149,0.8481481481481483
dev_stable_router_all_domains,all_three_domains,0.5,696,347,0.4985632183908046,136,311,-175,86,261,48,38,99,162,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.5531609195402298,0.5481742305685968,0.4773109243697479,0.5259259259259259,0.5704225352112676,243,183,128,142,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.5,696,347,0.4985632183908046,136,311,-175,86,261,43,43,107,154,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.5531609195402298,0.539358372456964,0.45342706502636204,0.4777777777777778,0.6009389671361502,256,170,141,129,0.8477743001217182
baseline_low_conf_dev_selected,all_three_domains,0.6,696,418,0.6005747126436781,177,297,-120,149,269,51,98,110,159,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.5732758620689655,0.5686750130412102,0.4991568296795953,0.5481481481481482,0.5892018779342723,251,175,122,148,0.8353069031472786
