policy,eval_domain,flip_budget,n,flip_n,flip_rate,base_errors,flip_errors,net_errors_reduced,rescued_by_flip,hurt_by_flip,rescued_fn_by_flip,rescued_fp_by_flip,hurt_to_fn_by_flip,hurt_to_fp_by_flip,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,auto_flip_n,auto_flip_accuracy,auto_flip_balanced_accuracy,auto_flip_f1,auto_flip_sensitivity_high,auto_flip_specificity_low,auto_flip_tn,auto_flip_fp,auto_flip_fn,auto_flip_tp,auto_flip_auc
shift_aware_image_directional_candidate,strict_external,0.2,105,21,0.2,32,37,-5,8,13,0,8,11,2,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6476190476190476,0.6285766691122523,0.5316455696202531,0.44680851063829785,0.8103448275862069,47,11,26,21,0.6621423330887748
dev_stable_router_all_domains,strict_external,0.2,105,21,0.2,32,39,-7,7,14,1,6,7,7,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6285714285714286,0.6214233308877477,0.5714285714285714,0.5531914893617021,0.6896551724137931,40,18,21,26,0.6621423330887748
shift_aware_concept_directional_candidate,strict_external,0.3,105,32,0.3047619047619048,51,25,26,29,3,5,24,3,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7619047619047619,0.7602714600146735,0.7368421052631579,0.7446808510638298,0.7758620689655172,45,13,12,35,0.6661775495231108
baseline_low_conf_dev_selected,strict_external,0.3,105,32,0.3047619047619048,51,29,22,27,5,8,19,1,4,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7238095238095238,0.7358767424798239,0.7339449541284404,0.851063829787234,0.6206896551724138,36,22,7,40,0.6661775495231108
shift_aware_image_directional_candidate,strict_external,0.3,105,32,0.3047619047619048,32,38,-6,13,19,0,13,17,2,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.638095238095238,0.6078503301540719,0.4411764705882353,0.3191489361702128,0.896551724137931,52,6,32,15,0.6621423330887748
dev_stable_router_all_domains,strict_external,0.3,105,32,0.3047619047619048,32,42,-10,11,21,5,6,10,11,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6,0.5975788701393985,0.5625,0.574468085106383,0.6206896551724138,36,22,20,27,0.6621423330887748
shift_aware_concept_directional_candidate,strict_external,0.4,105,42,0.4,51,25,26,34,8,7,27,5,3,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7619047619047619,0.7602714600146735,0.7368421052631579,0.7446808510638298,0.7758620689655172,45,13,12,35,0.6661775495231108
baseline_low_conf_dev_selected,strict_external,0.4,105,42,0.4,51,27,24,33,9,9,24,4,5,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7428571428571429,0.7490829053558328,0.7378640776699029,0.8085106382978723,0.6896551724137931,40,18,9,38,0.6661775495231108
dev_stable_router_all_domains,strict_external,0.4,105,42,0.4,32,42,-10,16,26,7,9,13,13,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6,0.5955612619222304,0.5531914893617021,0.5531914893617021,0.6379310344827587,37,21,21,26,0.6621423330887748
shift_aware_image_directional_candidate,strict_external,0.4,105,42,0.4,32,42,-10,16,26,1,15,22,4,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6,0.5652971386647102,0.34375,0.23404255319148937,0.896551724137931,52,6,36,11,0.6621423330887748
baseline_low_conf_dev_selected,strict_external,0.5,105,52,0.49523809523809526,51,31,20,36,16,10,26,7,9,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7047619047619048,0.710564930300807,0.6990291262135923,0.7659574468085106,0.6551724137931034,38,20,11,36,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.5,105,52,0.49523809523809526,51,31,20,36,16,9,27,11,5,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7047619047619048,0.700476889214967,0.6666666666666666,0.6595744680851063,0.7413793103448276,43,15,16,31,0.6661775495231108
dev_stable_router_all_domains,strict_external,0.5,105,52,0.49523809523809526,32,46,-14,19,33,9,10,17,16,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.5619047619047619,0.5570432868672046,0.5106382978723404,0.5106382978723404,0.603448275862069,35,23,23,24,0.6621423330887748
shift_aware_image_directional_candidate,strict_external,0.5,105,52,0.49523809523809526,32,46,-14,19,33,4,15,25,8,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.5619047619047619,0.5308143800440206,0.3235294117647059,0.23404255319148937,0.8275862068965517,48,10,36,11,0.6621423330887748
baseline_low_conf_dev_selected,strict_external,0.6,105,63,0.6,51,36,15,39,24,11,28,14,10,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.6571428571428571,0.6553558327219369,0.625,0.6382978723404256,0.6724137931034483,39,19,17,30,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.6,105,63,0.6,51,36,15,39,24,10,29,16,8,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.6571428571428571,0.649303008070433,0.6,0.574468085106383,0.7241379310344828,42,16,20,27,0.6661775495231108
dev_stable_router_all_domains,strict_external,0.6,105,63,0.6,32,49,-17,23,40,10,13,18,22,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.5333333333333333,0.5311812179016875,0.4948453608247423,0.5106382978723404,0.5517241379310345,32,26,23,24,0.6621423330887748
shift_aware_image_directional_candidate,strict_external,0.6,105,63,0.6,32,49,-17,23,40,7,16,27,13,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.5333333333333333,0.5069699192956713,0.3287671232876712,0.2553191489361702,0.7586206896551724,44,14,35,12,0.6621423330887748
baseline_low_conf_dev_selected,third_batch,0.0,306,0,0.0,65,65,0,0,0,0,0,0,0,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345
dev_stable_router_all_domains,third_batch,0.0,306,0,0.0,59,59,0,0,0,0,0,0,0,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.0,306,0,0.0,59,59,0,0,0,0,0,0,0,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.0,306,0,0.0,59,59,0,0,0,0,0,0,0,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237
baseline_low_conf_dev_selected,third_batch,0.1,306,31,0.10130718954248366,65,72,-7,12,19,4,8,6,13,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7647058823529411,0.7310540069686411,0.6,0.6585365853658537,0.8035714285714286,180,44,28,54,0.818270905923345
dev_stable_router_all_domains,third_batch,0.1,306,31,0.10130718954248366,59,74,-15,8,23,5,3,6,17,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7581699346405228,0.6995317944250871,0.5595238095238095,0.573170731707317,0.8258928571428571,185,39,35,47,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.1,306,31,0.10130718954248366,59,74,-15,8,23,5,3,6,17,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7581699346405228,0.6995317944250871,0.5595238095238095,0.573170731707317,0.8258928571428571,185,39,35,47,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.1,306,31,0.10130718954248366,59,74,-15,8,23,5,3,6,17,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7581699346405228,0.6995317944250871,0.5595238095238095,0.573170731707317,0.8258928571428571,185,39,35,47,0.8161476480836237
baseline_low_conf_dev_selected,third_batch,0.2,306,61,0.19934640522875818,65,78,-13,24,37,8,16,10,27,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7450980392156863,0.717661149825784,0.5806451612903226,0.6585365853658537,0.7767857142857143,174,50,28,54,0.818270905923345
dev_stable_router_all_domains,third_batch,0.2,306,61,0.19934640522875818,59,86,-27,17,44,10,7,10,34,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7189542483660131,0.6766114982578397,0.5274725274725275,0.5853658536585366,0.7678571428571429,172,52,34,48,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.2,306,61,0.19934640522875818,59,86,-27,17,44,10,7,10,34,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7189542483660131,0.6766114982578397,0.5274725274725275,0.5853658536585366,0.7678571428571429,172,52,34,48,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.2,306,61,0.19934640522875818,59,86,-27,17,44,10,7,10,34,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7189542483660131,0.6766114982578397,0.5274725274725275,0.5853658536585366,0.7678571428571429,172,52,34,48,0.8161476480836237
dev_stable_router_all_domains,third_batch,0.3,306,92,0.3006535947712418,59,93,-34,29,63,17,12,15,48,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.696078431372549,0.6687173344947734,0.5181347150259067,0.6097560975609756,0.7276785714285714,163,61,32,50,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.3,306,92,0.3006535947712418,59,93,-34,29,63,17,12,15,48,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.696078431372549,0.6687173344947734,0.5181347150259067,0.6097560975609756,0.7276785714285714,163,61,32,50,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.3,306,92,0.3006535947712418,59,93,-34,29,63,17,12,15,48,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.696078431372549,0.6687173344947734,0.5181347150259067,0.6097560975609756,0.7276785714285714,163,61,32,50,0.8161476480836237
baseline_low_conf_dev_selected,third_batch,0.3,306,92,0.3006535947712418,65,93,-28,32,60,9,23,18,42,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.696078431372549,0.6571210801393728,0.5026737967914439,0.573170731707317,0.7410714285714286,166,58,35,47,0.818270905923345
dev_stable_router_all_domains,third_batch,0.4,306,122,0.39869281045751637,59,107,-48,37,85,21,16,20,65,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.6503267973856209,0.6336019163763066,0.47804878048780486,0.5975609756097561,0.6696428571428571,150,74,33,49,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.4,306,122,0.39869281045751637,59,107,-48,37,85,21,16,20,65,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.6503267973856209,0.6336019163763066,0.47804878048780486,0.5975609756097561,0.6696428571428571,150,74,33,49,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.4,306,122,0.39869281045751637,59,107,-48,37,85,21,16,20,65,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.6503267973856209,0.6336019163763066,0.47804878048780486,0.5975609756097561,0.6696428571428571,150,74,33,49,0.8161476480836237
baseline_low_conf_dev_selected,third_batch,0.4,306,122,0.39869281045751637,65,99,-34,44,78,13,31,26,52,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.6764705882352942,0.6282665505226481,0.4648648648648649,0.524390243902439,0.7321428571428571,164,60,39,43,0.818270905923345
dev_stable_router_all_domains,third_batch,0.5,306,153,0.5,59,126,-67,43,110,24,19,25,85,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.5882352941176471,0.5834603658536586,0.42727272727272725,0.573170731707317,0.59375,133,91,35,47,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.5,306,153,0.5,59,126,-67,43,110,24,19,25,85,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.5882352941176471,0.5834603658536586,0.42727272727272725,0.573170731707317,0.59375,133,91,35,47,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.5,306,153,0.5,59,126,-67,43,110,24,19,25,85,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.5882352941176471,0.5834603658536586,0.42727272727272725,0.573170731707317,0.59375,133,91,35,47,0.8161476480836237
baseline_low_conf_dev_selected,third_batch,0.5,306,153,0.5,65,116,-51,51,102,16,35,32,70,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.6209150326797386,0.5787238675958188,0.40816326530612246,0.4878048780487805,0.6696428571428571,150,74,42,40,0.818270905923345
baseline_low_conf_dev_selected,third_batch,0.6,306,184,0.6013071895424836,65,133,-68,58,126,20,38,37,89,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.565359477124183,0.5369120209059233,0.3696682464454976,0.47560975609756095,0.5982142857142857,134,90,43,39,0.818270905923345
dev_stable_router_all_domains,third_batch,0.6,306,184,0.6013071895424836,59,145,-86,49,135,26,23,31,104,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.5261437908496732,0.5255879790940767,0.3722943722943723,0.524390243902439,0.5267857142857143,118,106,39,43,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.6,306,184,0.6013071895424836,59,145,-86,49,135,26,23,31,104,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.5261437908496732,0.5255879790940767,0.3722943722943723,0.524390243902439,0.5267857142857143,118,106,39,43,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.6,306,184,0.6013071895424836,59,145,-86,49,135,26,23,31,104,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.5261437908496732,0.5255879790940767,0.3722943722943723,0.524390243902439,0.5267857142857143,118,106,39,43,0.8161476480836237
