scenario,n_splits,constraints_met_rate,external_review_rate_median,external_review_rate_ci025,external_review_rate_ci975,external_bacc_median,external_bacc_ci025,external_bacc_ci975,external_sensitivity_median,external_specificity_median,external_fn_median,external_fp_median,p_external_fn_le_1,p_external_bacc_ge_95,most_common_policy,most_common_policy_rate
empirical_sens985_spec95,1000,1.0,0.6481481481481481,0.5740740740740741,0.7037037037037037,0.9565748168817579,0.9246599232647367,0.9647715381932334,0.9787234042553191,0.9344262295081968,1.0,4.0,0.646,0.7,fusion_rank::dir_plus_pred_low_fn::budget=0.650,0.345
empirical_sens98_spec95,1000,1.0,0.6481481481481481,0.5462962962962963,0.7037037037037037,0.9434949424485525,0.9107080572026509,0.9623299616323684,0.9574468085106383,0.9344262295081968,2.0,4.0,0.408,0.475,fusion_rank::dir_plus_pred_low_fn::budget=0.600,0.256
empirical_sens99_spec95,1000,1.0,0.6481481481481481,0.6018518518518519,0.7037037037037037,0.9565748168817579,0.9352982211370771,0.9647715381932334,0.9787234042553191,0.9344262295081968,1.0,4.0,0.803,0.813,fusion_rank::dir_plus_pred_low_fn::budget=0.650,0.417
wilson95_sens95_spec90,1000,1.0,0.6018518518518519,0.5462962962962963,0.6481481481481481,0.9352982211370771,0.9107080572026509,0.9565748168817579,0.9361702127659575,0.9344262295081968,3.0,4.0,0.111,0.111,fusion_rank::lowfn_highfp::budget=0.600,0.314
wilson95_sens97_spec90,1000,1.0,0.6481481481481481,0.6018518518518519,0.6481481481481481,0.9565748168817579,0.9352982211370771,0.9565748168817579,0.9787234042553191,0.9344262295081968,1.0,4.0,0.608,0.608,fusion_rank::any_plus_pred_low_fn_heavy::budget=0.650,0.549
