setting,scope,prob_threshold,core_max,extra_review_n,extra_captured_error_n,extra_clean_review_n,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
internal_oof,all,0.25,0.45,31,6,25,591,0.7783417935702199,4,1,3,0.9955156950672646,0.9918478260869565,0.9936817605771106
internal_oof,old_data,0.25,0.45,2,0,2,285,0.7333333333333333,1,0,1,1.0,0.9930555555555556,0.9965277777777778
internal_oof,third_batch,0.25,0.45,29,6,23,306,0.8202614379084967,3,1,2,0.9878048780487805,0.9910714285714286,0.9894381533101045
strict_external_crop_proxy,all,0.25,0.45,4,0,4,108,0.8611111111111112,1,0,1,1.0,0.9836065573770492,0.9918032786885246
strict_external_crop_proxy,strict_external,0.25,0.45,4,0,4,108,0.8611111111111112,1,0,1,1.0,0.9836065573770492,0.9918032786885246
