eval_group,task_l6_label,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp
old,A,44,0.6818181818181818,,0.0,30,14,0,0
old,AB,50,0.8,,0.0,40,10,0,0
old,B1,50,0.5,,0.0,25,25,0,0
old,B2,60,0.6666666666666666,,0.8,0,0,20,40
old,B3,24,0.7083333333333334,,0.8292682926829268,0,0,7,17
old,TC,57,0.7368421052631579,,0.8484848484848485,0,0,15,42
adapt72,AB,24,0.6666666666666666,,0.0,16,8,0,0
adapt72,B1,4,0.5,,0.0,2,2,0,0
adapt72,B2,22,0.6363636363636364,,0.7777777777777778,0,0,8,14
adapt72,TC,22,0.9090909090909091,,0.9523809523809523,0,0,2,20
third_holdout,AB,188,0.7659574468085106,,0.0,144,44,0,0
third_holdout,B1,8,0.125,,0.0,1,7,0,0
third_holdout,B2,7,0.5714285714285714,,0.7272727272727273,0,0,3,4
third_holdout,TC,31,0.7096774193548387,,0.8301886792452831,0,0,9,22
