fold_id,best_epoch,best_val_selection_metric,test_case_mean_primary_metric,test_case_mean_accuracy,test_case_mean_balanced_accuracy
1,8,0.715177304964539,0.7999999999999999,0.7235772357723578,0.7095833333333333
2,10,0.7221705426356589,0.7690780141843971,0.7295081967213115,0.7124822695035461
3,5,0.7008601465434852,0.7674418604651162,0.635593220338983,0.643875968992248
4,5,0.6833333333333333,0.7368588722523097,0.6637931034482759,0.6564192417967505
5,8,0.7404166666666667,0.7639455782312926,0.7142857142857143,0.6952380952380952
