policy,domain,n,auto_n,auto_rate,review_n,review_rate,release_from_review_n,auto_error_n,auto_high_risk_fn_n
select_old_data_min10_test_third_batch,third_batch,306,305,0.9967320261437909,1,0.0032679738562091504,163,9,7
select_third_batch_min10_test_old_data,old_data,285,234,0.8210526315789474,51,0.17894736842105263,103,0,0
