audit_domain,risk_score,target_review_rate,n_folds,total_cases,auto_decision_n_sum,review_or_reject_rate_mean,review_or_reject_rate_max,auto_error_n_sum,auto_error_n_max,auto_high_risk_fn_n_sum,auto_high_risk_fn_n_max,balanced_accuracy_mean,balanced_accuracy_min
old_data,router_score,0.4,5,285,170,0.4035087719298246,0.40350877192982454,0,0,0,0,1.0,1.0
old_data,disagreement_score,0.5,5,285,145,0.4912280701754385,0.49122807017543857,0,0,0,0,1.0,1.0
old_data,router_score,0.5,5,285,145,0.4912280701754385,0.49122807017543857,0,0,0,0,1.0,1.0
old_data,disagreement_score,0.6,5,285,115,0.5964912280701754,0.5964912280701754,0,0,0,0,1.0,1.0
old_data,hybrid_score,0.6,5,285,115,0.5964912280701754,0.5964912280701754,0,0,0,0,1.0,1.0
old_data,router_score,0.6,5,285,115,0.5964912280701754,0.5964912280701754,0,0,0,0,1.0,1.0
old_data,disagreement_score,0.7,5,285,85,0.7017543859649122,0.7017543859649122,0,0,0,0,1.0,1.0
old_data,hybrid_score,0.7,5,285,85,0.7017543859649122,0.7017543859649122,0,0,0,0,1.0,1.0
old_data,router_score,0.7,5,285,85,0.7017543859649122,0.7017543859649122,0,0,0,0,1.0,1.0
old_data,uncertainty_score,0.7,5,285,85,0.7017543859649122,0.7017543859649122,0,0,0,0,1.0,1.0
old_data,disagreement_score,0.8,5,285,55,0.8070175438596492,0.8070175438596491,0,0,0,0,1.0,1.0
old_data,hybrid_score,0.8,5,285,55,0.8070175438596492,0.8070175438596491,0,0,0,0,1.0,1.0
old_data,router_score,0.8,5,285,55,0.8070175438596492,0.8070175438596491,0,0,0,0,1.0,1.0
old_data,uncertainty_score,0.8,5,285,55,0.8070175438596492,0.8070175438596491,0,0,0,0,1.0,1.0
old_data,disagreement_score,0.2,5,285,230,0.19298245614035087,0.19298245614035087,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,hybrid_score,0.2,5,285,230,0.19298245614035087,0.19298245614035087,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,router_score,0.2,5,285,230,0.19298245614035087,0.19298245614035087,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,uncertainty_score,0.2,5,285,230,0.19298245614035087,0.19298245614035087,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,disagreement_score,0.3,5,285,200,0.2982456140350877,0.2982456140350877,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,hybrid_score,0.3,5,285,200,0.2982456140350877,0.2982456140350877,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,router_score,0.3,5,285,200,0.2982456140350877,0.2982456140350877,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,uncertainty_score,0.3,5,285,200,0.2982456140350877,0.2982456140350877,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,disagreement_score,0.4,5,285,170,0.4035087719298246,0.40350877192982454,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,hybrid_score,0.4,5,285,170,0.4035087719298246,0.40350877192982454,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,uncertainty_score,0.4,5,285,170,0.4035087719298246,0.40350877192982454,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,hybrid_score,0.5,5,285,145,0.4912280701754385,0.49122807017543857,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,uncertainty_score,0.5,5,285,145,0.4912280701754385,0.49122807017543857,1,1,0,0,0.9964285714285716,0.9821428571428572
old_data,uncertainty_score,0.6,5,285,115,0.5964912280701754,0.5964912280701754,1,1,0,0,0.9964285714285716,0.9821428571428572
third_batch,hybrid_score,0.7,5,306,91,0.7026441036488631,0.7049180327868853,1,1,1,1,0.99375,0.96875
third_batch,hybrid_score,0.8,5,306,60,0.8039132734003174,0.8064516129032258,1,1,1,1,0.99375,0.96875
third_batch,router_score,0.8,5,306,60,0.8039132734003174,0.8064516129032258,1,1,1,1,0.9941176470588236,0.9705882352941176
third_batch,uncertainty_score,0.8,5,306,60,0.8039132734003174,0.8064516129032258,2,1,2,1,0.9875,0.96875
third_batch,disagreement_score,0.6,5,306,121,0.6046007403490217,0.6065573770491803,3,1,3,1,0.9816176470588236,0.96875
third_batch,disagreement_score,0.7,5,306,91,0.7026441036488631,0.7049180327868853,3,1,3,1,0.9816176470588236,0.96875
third_batch,uncertainty_score,0.7,5,306,91,0.7026441036488631,0.7049180327868853,3,1,3,1,0.9816176470588236,0.96875
third_batch,disagreement_score,0.8,5,306,60,0.8039132734003174,0.8064516129032258,3,1,3,1,0.9816176470588236,0.96875
third_batch,disagreement_score,0.5,5,306,155,0.49344262295081964,0.5,4,1,4,1,0.9757352941176471,0.96875
