rule_id,conditions_json,internal_cases,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate,min_balanced_accuracy
rule_0264,"{""model_disagreement_rate"": 0.5, ""safe_distance_case_score"": 0.44908446583322653}",591,9,0,0,187,1,1,0.3139834881320949,0.9939024390243902
rule_0641,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.4848319814504693}",591,9,0,0,187,1,1,0.31410388716890264,0.9939024390243902
rule_0656,"{""router_risk_mean"": 0.5353073452206201, ""safe_distance_case_score"": 0.44908446583322653}",591,9,0,0,187,1,1,0.31386308909528726,0.9939024390243902
rule_0448,"{""base_uncertainty"": 0.2930204020410354, ""safe_distance_case_score"": 0.44908446583322653}",591,8,0,0,188,1,1,0.31561747506019955,0.9939024390243902
rule_0576,"{""base_entropy"": 0.6048336049280865, ""safe_distance_case_score"": 0.44908446583322653}",591,8,0,0,188,1,1,0.31561747506019955,0.9939024390243902
rule_0218,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.514713758890918}",591,7,0,0,189,1,1,0.3177330581355349,0.9939024390243902
rule_0225,"{""model_disagreement_rate"": 0.0833333333333333, ""safe_distance_case_score"": 0.4848319814504693}",591,7,0,0,189,1,1,0.3176126590987272,0.9939024390243902
rule_0248,"{""model_disagreement_rate"": 0.3333333333333333, ""safe_distance_case_score"": 0.44908446583322653}",591,7,0,0,189,1,1,0.3174922600619195,0.9939024390243902
rule_0256,"{""model_disagreement_rate"": 0.4166666666666667, ""safe_distance_case_score"": 0.44908446583322653}",591,7,0,0,189,1,1,0.3174922600619195,0.9939024390243902
rule_0441,"{""base_uncertainty"": 0.2773597104631068, ""safe_distance_case_score"": 0.4848319814504693}",591,7,0,0,189,1,1,0.3174922600619195,0.9939024390243902
rule_0569,"{""base_entropy"": 0.5904423424307783, ""safe_distance_case_score"": 0.4848319814504693}",591,7,0,0,189,1,1,0.3174922600619195,0.9939024390243902
rule_0633,"{""router_risk_mean"": 0.4682956323462678, ""safe_distance_case_score"": 0.4848319814504693}",591,7,0,0,189,1,1,0.3174922600619195,0.9939024390243902
rule_0648,"{""router_risk_mean"": 0.5101635376559355, ""safe_distance_case_score"": 0.44908446583322653}",591,7,0,0,189,1,1,0.31737186102511183,0.9939024390243902
rule_0217,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.4848319814504693}",591,6,0,0,190,1,1,0.31936704506363944,0.9939024390243902
rule_0232,"{""model_disagreement_rate"": 0.1666666666666666, ""safe_distance_case_score"": 0.44908446583322653}",591,5,0,0,191,1,1,0.3208806329549364,0.9939024390243902
rule_0240,"{""model_disagreement_rate"": 0.25, ""safe_distance_case_score"": 0.44908446583322653}",591,5,0,0,191,1,1,0.3208806329549364,0.9939024390243902
rule_0440,"{""base_uncertainty"": 0.2773597104631068, ""safe_distance_case_score"": 0.44908446583322653}",591,5,0,0,191,1,1,0.3207602339181287,0.9939024390243902
rule_0568,"{""base_entropy"": 0.5904423424307783, ""safe_distance_case_score"": 0.44908446583322653}",591,5,0,0,191,1,1,0.3207602339181287,0.9939024390243902
rule_0625,"{""router_risk_mean"": 0.4404604666281271, ""safe_distance_case_score"": 0.4848319814504693}",591,5,0,0,191,1,1,0.3207602339181287,0.9939024390243902
rule_0640,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.44908446583322653}",591,5,0,0,191,1,1,0.3207602339181287,0.9939024390243902
