severe_multiplier,subset_kind,metric_subset,metric_n,min_exceeded_metrics,strict_exceeded_metric_n,strict_is_severe,strict_exceeded_metrics
10.0,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate",2,2,0,False,
10.0,metric_combination,"domain_auc_cv,quality_proxy_mean",2,2,1,False,quality_proxy_mean
10.0,metric_combination,"mean_outside_ref_05_95_rate,quality_proxy_mean",2,2,1,False,quality_proxy_mean
10.0,metric_combination,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,0,False,
10.0,metric_combination,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,1,False,quality_proxy_mean
10.0,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,1,False,quality_proxy_mean
10.0,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,1,False,quality_proxy_mean
15.0,all_metrics,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",4,3,0,False,
15.0,leave_one_out,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,0,False,
15.0,leave_one_out,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,0,False,
15.0,leave_one_out,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,0,False,
15.0,leave_one_out,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,0,False,
15.0,single_metric,batch_shift_index,1,1,0,False,
15.0,single_metric,domain_auc_cv,1,1,0,False,
15.0,single_metric,mean_outside_ref_05_95_rate,1,1,0,False,
15.0,single_metric,quality_proxy_mean,1,1,0,False,
15.0,metric_combination,"batch_shift_index,domain_auc_cv",2,2,0,False,
15.0,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate",2,2,0,False,
15.0,metric_combination,"batch_shift_index,quality_proxy_mean",2,2,0,False,
15.0,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate",2,2,0,False,
15.0,metric_combination,"domain_auc_cv,quality_proxy_mean",2,2,0,False,
15.0,metric_combination,"mean_outside_ref_05_95_rate,quality_proxy_mean",2,2,0,False,
15.0,metric_combination,"batch_shift_index,domain_auc_cv,mean_outside_ref_05_95_rate",3,3,0,False,
15.0,metric_combination,"batch_shift_index,domain_auc_cv,quality_proxy_mean",3,3,0,False,
15.0,metric_combination,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,0,False,
15.0,metric_combination,"domain_auc_cv,mean_outside_ref_05_95_rate,quality_proxy_mean",3,3,0,False,
