train_domain,heldout_known_domain,heldout_known_exceeded_metric_n,heldout_known_is_severe,heldout_known_exceeded_metrics,strict_external_exceeded_metric_n,strict_external_is_severe,strict_external_exceeded_metrics
old_data,third_batch,0,False,,2,False,"mean_outside_ref_05_95_rate,quality_proxy_mean"
third_batch,old_data,0,False,,3,True,"batch_shift_index,mean_outside_ref_05_95_rate,quality_proxy_mean"
