audit_domain,risk_score,release_fraction_of_v195_review,n_folds,total_cases,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_error_n_max,auto_high_risk_fn_n_sum,auto_high_risk_fn_n_max,review_or_reject_rate_mean,review_or_reject_rate_max,balanced_accuracy_mean,balanced_accuracy_min
old_data,base_uncertainty,0.25,5,285,16,1,1,0,0,59,1,1,0,0,0.2070175438596491,0.24561403508771928,0.9964285714285716,0.9821428571428572
old_data,base_uncertainty,0.2,5,285,13,1,1,0,0,62,1,1,0,0,0.21754385964912276,0.2631578947368421,0.9964285714285716,0.9821428571428572
old_data,base_uncertainty,0.15,5,285,9,1,1,0,0,66,1,1,0,0,0.23157894736842105,0.2807017543859649,0.9964285714285716,0.9821428571428572
old_data,base_uncertainty,0.1,5,285,5,1,1,0,0,70,1,1,0,0,0.24561403508771926,0.2982456140350877,0.9964285714285716,0.9821428571428572
third_batch,model_disagreement_rate,0.15,5,306,15,0,0,0,0,106,1,1,1,1,0.3463775780010577,0.4098360655737705,0.99375,0.96875
third_batch,model_disagreement_rate,0.1,5,306,9,0,0,0,0,112,1,1,1,1,0.36599682707562137,0.4426229508196721,0.99375,0.96875
third_batch,model_disagreement_rate,0.05,5,306,4,0,0,0,0,117,1,1,1,1,0.38233738762559494,0.45901639344262296,0.99375,0.96875
third_batch,model_disagreement_rate,0.25,5,306,29,1,1,1,1,92,2,1,2,1,0.30063458487572714,0.36065573770491804,0.9878676470588236,0.96875
third_batch,model_disagreement_rate,0.2,5,306,22,1,1,1,1,99,2,1,2,1,0.323532522474881,0.39344262295081966,0.9878676470588236,0.96875
third_batch,hybrid_score,0.1,5,306,9,1,1,1,1,112,2,1,2,1,0.36599682707562137,0.4426229508196721,0.9875,0.96875
third_batch,safe_distance_case_score,0.1,5,306,9,1,1,1,1,112,2,1,2,1,0.36599682707562137,0.4426229508196721,0.9875,0.96875
third_batch,safe_distance_full_score,0.1,5,306,9,1,1,1,1,112,2,1,2,1,0.36599682707562137,0.4426229508196721,0.9875,0.96875
third_batch,hybrid_score,0.05,5,306,4,1,1,1,1,117,2,1,2,1,0.38233738762559494,0.45901639344262296,0.9875,0.96875
third_batch,router_risk_mean,0.05,5,306,4,1,1,1,1,117,2,1,2,1,0.38233738762559494,0.45901639344262296,0.9878676470588236,0.96875
third_batch,safe_distance_case_score,0.05,5,306,4,1,1,1,1,117,2,1,2,1,0.38233738762559494,0.45901639344262296,0.9875,0.96875
third_batch,safe_distance_full_score,0.05,5,306,4,1,1,1,1,117,2,1,2,1,0.38233738762559494,0.45901639344262296,0.9875,0.96875
third_batch,model_disagreement_rate,0.3,5,306,34,2,1,2,1,87,3,1,3,1,0.28429402432575357,0.3442622950819672,0.9816176470588236,0.96875
third_batch,safe_distance_case_score,0.2,5,306,22,2,1,2,1,99,3,2,3,2,0.323532522474881,0.39344262295081966,0.98125,0.9375
third_batch,safe_distance_full_score,0.2,5,306,22,2,1,2,1,99,3,2,3,2,0.323532522474881,0.39344262295081966,0.98125,0.9375
third_batch,safe_distance_case_score,0.15,5,306,15,2,1,2,1,106,3,2,3,2,0.3463775780010577,0.4098360655737705,0.98125,0.9375
third_batch,safe_distance_full_score,0.15,5,306,15,2,1,2,1,106,3,2,3,2,0.3463775780010577,0.4098360655737705,0.98125,0.9375
third_batch,router_risk_mean,0.1,5,306,9,2,2,2,2,112,3,2,3,2,0.36599682707562137,0.4426229508196721,0.9819852941176471,0.9411764705882353
third_batch,base_uncertainty,0.05,5,306,4,2,1,2,1,117,3,1,3,1,0.38233738762559494,0.45901639344262296,0.9816176470588236,0.96875
third_batch,safe_distance_case_score,0.3,5,306,34,3,1,3,1,87,4,2,4,2,0.28429402432575357,0.3442622950819672,0.9753676470588235,0.9375
third_batch,safe_distance_full_score,0.3,5,306,34,3,1,3,1,87,4,2,4,2,0.28429402432575357,0.3442622950819672,0.9753676470588235,0.9375
third_batch,safe_distance_case_score,0.25,5,306,29,3,1,3,1,92,4,2,4,2,0.30063458487572714,0.36065573770491804,0.9753676470588235,0.9375
third_batch,safe_distance_full_score,0.25,5,306,29,3,1,3,1,92,4,2,4,2,0.30063458487572714,0.36065573770491804,0.9753676470588235,0.9375
third_batch,hybrid_score,0.15,5,306,15,3,1,3,1,106,4,2,4,2,0.3463775780010577,0.4098360655737705,0.9753676470588235,0.9375
third_batch,base_uncertainty,0.1,5,306,9,3,1,3,1,112,4,2,4,2,0.36599682707562137,0.4426229508196721,0.9753676470588235,0.9375
third_batch,model_disagreement_rate,0.4,5,306,47,4,1,4,1,74,5,1,5,1,0.24182971972501321,0.29508196721311475,0.9694852941176471,0.96875
third_batch,base_uncertainty,0.2,5,306,22,4,1,4,1,99,5,2,5,2,0.323532522474881,0.39344262295081966,0.9691176470588235,0.9375
third_batch,base_uncertainty,0.15,5,306,15,4,1,4,1,106,5,2,5,2,0.3463775780010577,0.4098360655737705,0.9691176470588235,0.9375
third_batch,router_risk_mean,0.15,5,306,15,4,2,4,2,106,5,2,5,2,0.3463775780010577,0.4098360655737705,0.9694852941176471,0.9375
third_batch,safe_distance_case_score,0.4,5,306,47,5,1,4,1,74,6,2,5,2,0.24182971972501321,0.29508196721311475,0.9672630718954249,0.9375
third_batch,safe_distance_full_score,0.4,5,306,47,5,1,4,1,74,6,2,5,2,0.24182971972501321,0.29508196721311475,0.9672630718954249,0.9375
third_batch,base_uncertainty,0.3,5,306,34,5,2,4,1,87,6,2,5,2,0.28429402432575357,0.3442622950819672,0.9668954248366013,0.9375
