audit_domain,n_folds,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum
old_data,5,9,0,0,0,0,66,0,0
third_batch,5,15,0,0,0,0,106,1,1
