policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,result_family,target_review_rate,actual_review_rate,risk_score,hard_shift_gate
v195_stable_agreement_release_reconstructed,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,210,0.7368421052631579,75,0.2631578947368421,0,0.0,0.017964050759283236,0,0,baseline,,,,
v195_stable_agreement_release_reconstructed,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,185,0.6045751633986928,121,0.3954248366013072,1,0.005405405405405406,0.029978312639718188,1,0,baseline,,,,
v195_stable_agreement_release_reconstructed,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,52,0.48148148148148145,56,0.5185185185185185,0,0.0,0.06879223612386234,0,0,baseline,,,,
v195_stable_agreement_release_reconstructed,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,447,0.6394849785407726,252,0.3605150214592275,1,0.0022371364653243847,0.012561772851409966,1,0,baseline,,,,
risk_rank_uncertainty_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,228,0.8,57,0.2,1,0.0043859649122807015,0.02442126935431016,0,1,risk_curve,0.2,0.2,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9738562091503268,0.9589503484320558,0.95,0.818270905923345,6,2,245,0.8006535947712419,61,0.19934640522875818,8,0.0326530612244898,0.06309843633000585,6,2,risk_curve,0.2,0.19934640522875818,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,86,0.7962962962962963,22,0.2037037037037037,0,0.0,0.042758197285742226,0,0,risk_curve,0.2,0.2037037037037037,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.9871244635193133,0.9853923853923854,0.9832402234636871,0.8353017353017353,6,3,559,0.7997138769670958,140,0.20028612303290416,9,0.016100178890876567,0.030312667349858304,6,3,risk_curve,0.2,0.20028612303290416,uncertainty_score,mixed
risk_rank_uncertainty_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,199,0.6982456140350877,86,0.3017543859649123,1,0.005025125628140704,0.027910540802306198,0,1,risk_curve,0.3,0.3017543859649123,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9738562091503268,0.9589503484320558,0.95,0.818270905923345,6,2,214,0.6993464052287581,92,0.3006535947712418,8,0.037383177570093455,0.07201990037112938,6,2,risk_curve,0.3,0.3006535947712418,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,76,0.7037037037037037,32,0.2962962962962963,0,0.0,0.048113585065137326,0,0,risk_curve,0.3,0.2962962962962963,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.9871244635193133,0.9853923853923854,0.9832402234636871,0.8353017353017353,6,3,489,0.6995708154506438,210,0.30042918454935624,9,0.018404907975460124,0.03460490988003641,6,3,risk_curve,0.3,0.30042918454935624,uncertainty_score,mixed
risk_rank_uncertainty_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,171,0.6,114,0.4,1,0.005847953216374269,0.032376978181304424,0,1,risk_curve,0.4,0.4,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9738562091503268,0.9589503484320558,0.95,0.818270905923345,6,2,184,0.6013071895424836,122,0.39869281045751637,8,0.043478260869565216,0.08343557754111408,6,2,risk_curve,0.4,0.39869281045751637,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,65,0.6018518518518519,43,0.39814814814814814,0,0.0,0.05580153132285689,0,0,risk_curve,0.4,0.39814814814814814,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.9871244635193133,0.9853923853923854,0.9832402234636871,0.8353017353017353,6,3,419,0.5994277539341917,280,0.4005722460658083,9,0.021479713603818614,0.0403131303940933,6,3,risk_curve,0.4,0.4005722460658083,uncertainty_score,mixed
risk_rank_uncertainty_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,143,0.5017543859649123,142,0.4982456140350877,1,0.006993006993006993,0.03854521317655134,0,1,risk_curve,0.5,0.4982456140350877,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9836601307189542,0.9733776132404182,0.968944099378882,0.818270905923345,4,1,153,0.5,153,0.5,5,0.032679738562091505,0.07421324118209575,4,1,risk_curve,0.5,0.5,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,54,0.5,54,0.5,0,0.0,0.0664135880908964,0,0,risk_curve,0.5,0.5,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.9885550786838341,0.9872442372442373,0.9851301115241635,0.8353017353017353,5,3,349,0.49928469241773965,350,0.5007153075822603,8,0.022922636103151862,0.0445733156024931,5,3,risk_curve,0.5,0.5007153075822603,uncertainty_score,mixed
risk_rank_uncertainty_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,114,0.4,171,0.6,1,0.008771929824561403,0.04802034676013621,0,1,risk_curve,0.6,0.6,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9869281045751634,0.975609756097561,0.975,0.818270905923345,4,0,122,0.39869281045751637,184,0.6013071895424836,4,0.03278688524590164,0.08127563379380506,4,0,risk_curve,0.6,0.6013071895424836,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,43,0.39814814814814814,65,0.6018518518518519,0,0.0,0.08200980322579117,0,0,risk_curve,0.6,0.6018518518518519,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.9914163090128756,0.9902615902615903,0.9888475836431226,0.8353017353017353,4,2,280,0.4005722460658083,419,0.5994277539341917,6,0.02142857142857143,0.04595390822159563,4,2,risk_curve,0.6,0.5994277539341917,uncertainty_score,mixed
risk_rank_uncertainty_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,85,0.2982456140350877,200,0.7017543859649122,0,0.0,0.04323948381405149,0,0,risk_curve,0.7,0.7017543859649122,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.818270905923345,3,0,92,0.3006535947712418,214,0.6993464052287581,3,0.03260869565217391,0.09153359952993573,3,0,risk_curve,0.7,0.6993464052287581,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,32,0.2962962962962963,76,0.7037037037037037,0,0.0,0.1071791982550706,0,0,risk_curve,0.7,0.7037037037037037,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.994277539341917,0.9925925925925926,0.9925373134328358,0.8353017353017353,4,0,210,0.30042918454935624,489,0.6995708154506438,4,0.01904761904761905,0.04794338192420791,4,0,risk_curve,0.7,0.6995708154506438,uncertainty_score,mixed
risk_rank_uncertainty_score,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,57,0.2,228,0.8,0,0.0,0.06313883485297894,0,0,risk_curve,0.8,0.8,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,third_batch,306,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.818270905923345,3,0,61,0.19934640522875818,245,0.8006535947712419,3,0.04918032786885246,0.134911275272159,3,0,risk_curve,0.8,0.8006535947712419,uncertainty_score,normal_or_known_shift
risk_rank_uncertainty_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,22,0.2037037037037037,86,0.7962962962962963,0,0.0,0.14865487460862087,0,0,risk_curve,0.8,0.7962962962962963,uncertainty_score,severe_unknown_shift
risk_rank_uncertainty_score,all_domains,699,0.9957081545064378,0.9944444444444445,0.994413407821229,0.8353017353017353,3,0,140,0.20028612303290416,559,0.7997138769670958,3,0.02142857142857143,0.06110478852537385,3,0,risk_curve,0.8,0.7997138769670958,uncertainty_score,mixed
risk_rank_disagreement_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,228,0.8,57,0.2,1,0.0043859649122807015,0.02442126935431016,0,1,risk_curve,0.2,0.2,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,third_batch,306,0.9738562091503268,0.9550849303135889,0.9493670886075949,0.818270905923345,7,1,245,0.8006535947712419,61,0.19934640522875818,8,0.0326530612244898,0.06309843633000585,7,1,risk_curve,0.2,0.19934640522875818,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,86,0.7962962962962963,22,0.2037037037037037,0,0.0,0.042758197285742226,0,0,risk_curve,0.2,0.2037037037037037,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.8353017353017353,7,3,559,0.7997138769670958,140,0.20028612303290416,10,0.017889087656529516,0.0326136271282726,7,3,risk_curve,0.2,0.20028612303290416,disagreement_score,mixed
risk_rank_disagreement_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,199,0.6982456140350877,86,0.3017543859649123,1,0.005025125628140704,0.027910540802306198,0,1,risk_curve,0.3,0.3017543859649123,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,third_batch,306,0.9771241830065359,0.9611824912891986,0.9559748427672956,0.818270905923345,6,1,214,0.6993464052287581,92,0.3006535947712418,7,0.03271028037383177,0.06596762727923236,6,1,risk_curve,0.3,0.3006535947712418,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,76,0.7037037037037037,32,0.2962962962962963,0,0.0,0.048113585065137326,0,0,risk_curve,0.3,0.2962962962962963,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9871244635193133,0.9847060347060348,0.983177570093458,0.8353017353017353,7,2,489,0.6995708154506438,210,0.30042918454935624,9,0.018404907975460124,0.03460490988003641,7,2,risk_curve,0.3,0.30042918454935624,disagreement_score,mixed
risk_rank_disagreement_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,171,0.6,114,0.4,1,0.005847953216374269,0.032376978181304424,0,1,risk_curve,0.4,0.4,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,third_batch,306,0.9771241830065359,0.9611824912891986,0.9559748427672956,0.818270905923345,6,1,184,0.6013071895424836,122,0.39869281045751637,7,0.03804347826086957,0.07643313026659554,6,1,risk_curve,0.4,0.39869281045751637,disagreement_score,normal_or_known_shift
risk_rank_disagreement_score,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,65,0.6018518518518519,43,0.39814814814814814,0,0.0,0.05580153132285689,0,0,risk_curve,0.4,0.39814814814814814,disagreement_score,severe_unknown_shift
risk_rank_disagreement_score,all_domains,699,0.9899856938483548,0.9877233877233877,0.9869158878504672,0.8353017353017353,6,1,419,0.5994277539341917,280,0.4005722460658083,7,0.016706443914081145,0.03407855349378062,6,1,risk_curve,0.4,0.4005722460658083,disagreement_score,mixed
risk_rank_disagreement_score,old_data,285,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1,143,0.5017543859649123,142,0.4982456140350877,1,0.006993006993006993,0.03854521317655134,0,1,risk_curve,0.5,0.4982456140350877,disagreement_score,normal_or_known_shift
