audit_domain,release_fraction,veto_threshold,n_folds,released_n_sum,released_error_n_sum,released_error_n_max,released_high_risk_fn_n_sum,released_high_risk_fn_n_max,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,review_or_reject_rate_mean
old_data,0.25,0.5740271177553192,5,16,0,0,0,0,59,0,0,0.2070175438596491
old_data,0.25,0.5964855305337708,5,16,0,0,0,0,59,0,0,0.2070175438596491
old_data,0.25,0.6307140560545222,5,16,0,0,0,0,59,0,0,0.2070175438596491
old_data,0.25,0.6809192268745825,5,16,0,0,0,0,59,0,0,0.2070175438596491
old_data,0.25,0.7302192052776949,5,16,0,0,0,0,59,0,0,0.2070175438596491
old_data,0.25,0.5384969832645418,5,14,0,0,0,0,61,0,0,0.21403508771929824
old_data,0.2,0.5384969832645418,5,13,0,0,0,0,62,0,0,0.21754385964912276
old_data,0.2,0.5740271177553192,5,13,0,0,0,0,62,0,0,0.21754385964912276
old_data,0.2,0.5964855305337708,5,13,0,0,0,0,62,0,0,0.21754385964912276
old_data,0.2,0.6307140560545222,5,13,0,0,0,0,62,0,0,0.21754385964912276
old_data,0.2,0.6809192268745825,5,13,0,0,0,0,62,0,0,0.21754385964912276
old_data,0.2,0.7302192052776949,5,13,0,0,0,0,62,0,0,0.21754385964912276
old_data,0.2,0.514713758890918,5,12,0,0,0,0,63,0,0,0.22105263157894733
old_data,0.25,0.514713758890918,5,12,0,0,0,0,63,0,0,0.22105263157894733
old_data,0.2,0.4848319814504693,5,10,0,0,0,0,65,0,0,0.22807017543859648
old_data,0.25,0.4848319814504693,5,10,0,0,0,0,65,0,0,0.22807017543859648
old_data,0.15,0.514713758890918,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.5384969832645418,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.5740271177553192,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.5964855305337708,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.6307140560545222,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.6809192268745825,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.7302192052776949,5,9,0,0,0,0,66,0,0,0.23157894736842105
old_data,0.15,0.4848319814504693,5,7,0,0,0,0,68,0,0,0.23859649122807017
third_batch,0.25,0.4848319814504693,5,10,0,0,0,0,111,1,1,0.3627181385510312
third_batch,0.2,0.4848319814504693,5,8,0,0,0,0,113,1,1,0.36927551560021155
third_batch,0.15,0.4848319814504693,5,7,0,0,0,0,114,1,1,0.37255420412480167
third_batch,0.15,0.6307140560545222,5,15,1,1,1,1,106,2,2,0.3463775780010577
third_batch,0.15,0.6809192268745825,5,15,1,1,1,1,106,2,2,0.3463775780010577
third_batch,0.15,0.7302192052776949,5,15,1,1,1,1,106,2,2,0.3463775780010577
third_batch,0.2,0.6307140560545222,5,22,2,1,2,1,99,3,3,0.323532522474881
third_batch,0.2,0.6809192268745825,5,22,2,1,2,1,99,3,3,0.323532522474881
third_batch,0.2,0.5964855305337708,5,21,2,1,2,1,100,3,3,0.32681121099947114
third_batch,0.25,0.514713758890918,5,17,2,1,2,1,104,3,3,0.3398730830248546
third_batch,0.15,0.5740271177553192,5,15,2,1,2,1,106,3,3,0.3463775780010577
third_batch,0.15,0.5964855305337708,5,15,2,1,2,1,106,3,3,0.3463775780010577
third_batch,0.2,0.514713758890918,5,15,2,1,2,1,106,3,3,0.3464304600740349
third_batch,0.15,0.5384969832645418,5,13,2,1,2,1,108,3,3,0.352934955050238
third_batch,0.15,0.514713758890918,5,12,2,1,2,1,109,3,3,0.35621364357482815
third_batch,0.25,0.6307140560545222,5,29,3,1,3,1,92,4,4,0.30063458487572714
third_batch,0.25,0.6809192268745825,5,29,3,1,3,1,92,4,4,0.30063458487572714
third_batch,0.25,0.5964855305337708,5,27,3,1,3,1,94,4,4,0.30719196192490744
third_batch,0.2,0.7302192052776949,5,22,3,1,3,1,99,4,4,0.323532522474881
third_batch,0.25,0.5384969832645418,5,21,3,1,3,1,100,4,4,0.32686409307244846
third_batch,0.2,0.5740271177553192,5,19,3,1,3,1,102,4,4,0.3333685880486515
third_batch,0.2,0.5384969832645418,5,17,3,1,3,1,104,4,4,0.3399259650978318
third_batch,0.25,0.7302192052776949,5,29,4,1,4,1,92,5,5,0.30063458487572714
third_batch,0.25,0.5740271177553192,5,23,4,1,4,1,98,5,5,0.3203067160232681
