accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.7368421052631579,0.7372931442080378,0.7457627118644068,100,44,31,110,0.7622143420015761,extra_d7_l2,0.48999999999999994
0.7192982456140351,0.7190455082742317,0.7101449275362319,107,37,43,98,0.7776792750197007,logreg_c0003,0.5199999999999999
0.7192982456140351,0.7189716312056738,0.708029197080292,108,36,44,97,0.7459613869188337,rf_d7,0.49999999999999994
0.7192982456140351,0.71875,0.7014925373134329,111,33,47,94,0.772655634357762,logreg_c001,0.57
0.7157894736842105,0.7157210401891253,0.7117437722419929,104,40,41,100,0.7664007092198581,svc_c1,0.48999999999999994
0.7157894736842105,0.7154255319148937,0.7032967032967034,108,36,45,96,0.7684200157604413,logreg_c003,0.5499999999999999
0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.7649231678486997,logreg_c01,0.59
0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.7639381402679274,logreg_c03,0.63
0.7087719298245614,0.7084072104018913,0.6959706959706959,107,37,46,95,0.7626083530338849,logreg_c10,0.6
0.7052631578947368,0.7058215130023641,0.7181208053691275,94,50,34,107,0.7491627265563435,extra_d5_l2,0.48999999999999994
0.7052631578947368,0.7055998817966903,0.7123287671232876,97,47,37,104,0.7572399527186762,extra_dnone_l8,0.48999999999999994
0.7052631578947368,0.7041962174940899,0.6692913385826772,116,28,56,85,0.7595055161544523,rf_d5,0.5199999999999999
0.7017543859649122,0.7009456264775413,0.6743295019157088,112,32,53,88,0.7491627265563435,extra_d3_l8,0.5099999999999999
0.7017543859649122,0.7009456264775413,0.6743295019157088,112,32,53,88,0.7446808510638298,extra_dnone_l4,0.5199999999999999
0.6982456140350877,0.6977689125295509,0.6814814814814815,107,37,49,92,0.7501477541371158,extra_d5_l4,0.5099999999999999
0.6947368421052632,0.6948877068557919,0.6968641114982579,98,46,41,100,0.7494089834515366,extra_dnone_l2,0.48999999999999994
0.6947368421052632,0.6944444444444444,0.6836363636363636,104,40,47,94,0.750886524822695,extra_d7_l8,0.49999999999999994
0.6947368421052632,0.6940011820330969,0.6692015209125475,110,34,53,88,0.7476851851851851,extra_d5_l8,0.5099999999999999
0.6947368421052632,0.6931885342789599,0.6390041493775933,121,23,64,77,0.7470449172576833,extra_d7_l4,0.5299999999999999
0.6912280701754386,0.6921542553191489,0.7142857142857143,87,57,31,110,0.753299842395587,rf_d3,0.4799999999999999
0.6877192982456141,0.6876477541371158,0.6832740213523132,100,44,45,96,0.7385736800630417,extra_d3_l2,0.49999999999999994
0.6877192982456141,0.6869089834515366,0.6590038314176245,110,34,55,86,0.7391154452324665,extra_d3_l4,0.5099999999999999
0.6807017543859649,0.6812204491725768,0.6936026936026936,91,53,38,103,0.7221729708431837,mlp64_32_a003,0.35999999999999993
0.6771929824561403,0.6775265957446809,0.684931506849315,93,51,41,100,0.7199566587864461,mlp96_a003,0.5599999999999999
0.6631578947368421,0.6652630023640662,0.7176470588235294,67,77,19,122,0.7043439716312057,gb_d2_lr03,0.3999999999999999
0.6596491228070176,0.6586140661938534,0.6196078431372549,109,35,62,79,0.6969070133963751,gb_d1_lr03,0.5399999999999999
0.656140350877193,0.6558806146572105,0.644927536231884,98,46,52,89,0.7029649330181246,svc_c03,0.49999999999999994
0.6280701754385964,0.6265514184397163,0.5619834710743802,111,33,73,68,0.6674546887312846,knn11,0.5499999999999999
0.6070175438596491,0.6049054373522459,0.504424778761062,116,28,84,57,0.6348256501182034,knn7,0.58
