split,level,aggregation,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
test_oof,case,mean,0.755593195554689,0.6818950930626058,0.675655585884188,0.6502242152466368,0.7010869565217391,0.5686274509803921,0.606694560669456,258,110,78,145
test_oof:batch1,case,mean,0.8058479532163743,0.7350427350427351,0.7364035087719298,0.7894736842105263,0.6833333333333333,0.703125,0.743801652892562,41,19,12,45
test_oof:batch2,case,mean,0.6536281179138321,0.5892857142857143,0.5892857142857143,0.6190476190476191,0.5595238095238095,0.5842696629213483,0.6011560693641619,47,37,32,52
test_oof:third_batch_adapt72_highfocus,case,mean,0.6866883116883117,0.6111111111111112,0.6103896103896104,0.6136363636363636,0.6071428571428571,0.7105263157894737,0.6585365853658537,17,11,17,27
test_oof:third_batch_holdout,case,mean,0.7540279269602578,0.7435897435897436,0.6666219119226638,0.5526315789473685,0.7806122448979592,0.328125,0.4117647058823529,153,43,17,21
test_oof:old,case,mean,0.7183806146572104,0.6491228070175439,0.6495271867612293,0.6879432624113475,0.6111111111111112,0.6339869281045751,0.6598639455782312,88,56,44,97
test_oof:third,case,mean,0.7676938153310103,0.7124183006535948,0.6721472125435539,0.5853658536585366,0.7589285714285714,0.47058823529411764,0.5217391304347826,170,54,34,48
