config_id,threshold_objective,threshold,best_epoch,repeat_adapt,hidden,dropout,lr,wd,smooth,epochs,patience,batch,val_accuracy,val_balanced_accuracy,val_f1,val_auc,val_tn,val_fp,val_fn,val_tp,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp
1,balanced_accuracy,0.6399999999999999,2,1,128,0.3,0.0008,0.0001,0.02,160,16,64,0.7692307692307693,0.7708728652751423,0.7692307692307693,0.7741935483870968,25,6,9,25,0.7948717948717948,0.6760204081632653,0.4418604651162791,0.7467776584317938,167,29,19,19
1,accuracy,0.6399999999999999,2,1,128,0.3,0.0008,0.0001,0.02,160,16,64,0.7692307692307693,0.7708728652751423,0.7692307692307693,0.7741935483870968,25,6,9,25,0.7948717948717948,0.6760204081632653,0.4418604651162791,0.7467776584317938,167,29,19,19
19,balanced_accuracy,0.5399999999999999,2,8,128,0.3,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.6930740037950665,0.696969696969697,0.6992409867172675,22,9,11,23,0.7435897435897436,0.6666219119226638,0.4117647058823529,0.742749731471536,153,43,17,21
19,accuracy,0.5299999999999999,2,8,128,0.3,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.6916508538899431,0.7058823529411765,0.6992409867172675,21,10,10,24,0.7393162393162394,0.6640708915145006,0.4077669902912621,0.742749731471536,152,44,17,21
21,balanced_accuracy,0.82,3,8,256,0.3,0.0008,0.0001,0.02,160,16,64,0.676923076923077,0.6826375711574952,0.6440677966101694,0.706831119544592,25,6,15,19,0.8034188034188035,0.6599087003222341,0.425,0.7451664876476907,171,25,21,17
21,accuracy,0.82,3,8,256,0.3,0.0008,0.0001,0.02,160,16,64,0.676923076923077,0.6826375711574952,0.6440677966101694,0.706831119544592,25,6,15,19,0.8034188034188035,0.6599087003222341,0.425,0.7451664876476907,171,25,21,17
7,balanced_accuracy,0.7599999999999999,3,2,128,0.3,0.0008,0.0001,0.02,160,16,64,0.7230769230769231,0.7239089184060721,0.7272727272727273,0.7182163187855787,23,8,10,24,0.782051282051282,0.6577604726100966,0.41379310344827586,0.7324113856068744,165,31,20,18
7,accuracy,0.7599999999999999,3,2,128,0.3,0.0008,0.0001,0.02,160,16,64,0.7230769230769231,0.7239089184060721,0.7272727272727273,0.7182163187855787,23,8,10,24,0.782051282051282,0.6577604726100966,0.41379310344827586,0.7324113856068744,165,31,20,18
20,balanced_accuracy,0.19,12,8,256,0.15,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.6859582542694497,0.7368421052631579,0.6821631878557874,17,14,6,28,0.6196581196581197,0.6562835660580022,0.3776223776223776,0.7205961331901182,118,78,11,27
20,accuracy,0.19,12,8,256,0.15,0.0008,0.0001,0.02,160,16,64,0.6923076923076923,0.6859582542694497,0.7368421052631579,0.6821631878557874,17,14,6,28,0.6196581196581197,0.6562835660580022,0.3776223776223776,0.7205961331901182,118,78,11,27
17,accuracy,0.63,2,4,512,0.3,0.0005,0.0001,0.02,160,16,64,0.676923076923077,0.6783681214421253,0.676923076923077,0.6954459203036053,22,9,12,22,0.7777777777777778,0.6552094522019334,0.4090909090909091,0.7179108485499464,164,32,20,18
5,accuracy,0.63,2,1,512,0.3,0.0005,0.0001,0.02,160,16,64,0.7230769230769231,0.7253320683111955,0.71875,0.7533206831119544,24,7,11,23,0.7948717948717948,0.6548066595059077,0.4146341463414634,0.7545649838882922,169,27,21,17
17,balanced_accuracy,0.74,2,4,512,0.3,0.0005,0.0001,0.02,160,16,64,0.676923076923077,0.6826375711574952,0.6440677966101694,0.6954459203036053,25,6,15,19,0.811965811965812,0.6544038668098818,0.42105263157894735,0.7179108485499464,174,22,22,16
