profile,prob_source,calib_objective,adapt_n,holdout_n,threshold,adapt_acc,adapt_bacc,adapt_f1,adapt_auc,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sens,adapt_spec,holdout_acc,holdout_bacc,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sens,holdout_spec
adapt96_high_focus,base_prob_high,bacc,96,210,0.48999999999999994,0.6041666666666666,0.6337760910815939,0.6346153846153846,0.6299810246679317,25,9,29,33,0.532258064516129,0.7352941176470589,0.7619047619047619,0.7789473684210526,0.3902439024390244,0.7923684210526316,144,46,4,16,0.8,0.7578947368421053
adapt96_high_focus,final_prob_high,bacc,96,210,0.48999999999999994,0.6041666666666666,0.6337760910815939,0.6346153846153846,0.6299810246679317,25,9,29,33,0.532258064516129,0.7352941176470589,0.7619047619047619,0.7789473684210526,0.3902439024390244,0.793157894736842,144,46,4,16,0.8,0.7578947368421053
adapt72_balanced,base_prob_high,bacc,72,234,0.48999999999999994,0.6111111111111112,0.6111111111111112,0.5625,0.6026234567901234,26,10,18,18,0.5,0.7222222222222222,0.7435897435897436,0.7172756706753006,0.5081967213114754,0.7475716928769658,143,45,15,31,0.6739130434782609,0.7606382978723404
adapt72_balanced,base_prob_high,acc,72,234,0.48999999999999994,0.6111111111111112,0.6111111111111112,0.5625,0.6026234567901234,26,10,18,18,0.5,0.7222222222222222,0.7435897435897436,0.7172756706753006,0.5081967213114754,0.7475716928769658,143,45,15,31,0.6739130434782609,0.7606382978723404
adapt72_balanced,final_prob_high,bacc,72,234,0.48999999999999994,0.6111111111111112,0.6111111111111112,0.5625,0.6026234567901234,26,10,18,18,0.5,0.7222222222222222,0.7435897435897436,0.7172756706753006,0.5081967213114754,0.748959296947271,143,45,15,31,0.6739130434782609,0.7606382978723404
adapt72_balanced,final_prob_high,acc,72,234,0.48999999999999994,0.6111111111111112,0.6111111111111112,0.5625,0.6026234567901234,26,10,18,18,0.5,0.7222222222222222,0.7435897435897436,0.7172756706753006,0.5081967213114754,0.748959296947271,143,45,15,31,0.6739130434782609,0.7606382978723404
adapt72_high_focus,base_prob_high,bacc,72,234,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,0.6006493506493507,20,8,20,24,0.5454545454545454,0.7142857142857143,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7346938775510203,149,47,13,25,0.6578947368421053,0.7602040816326531
adapt72_high_focus,base_prob_high,acc,72,234,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,0.6006493506493507,20,8,20,24,0.5454545454545454,0.7142857142857143,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7346938775510203,149,47,13,25,0.6578947368421053,0.7602040816326531
adapt72_high_focus,final_prob_high,bacc,72,234,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,0.6006493506493507,20,8,20,24,0.5454545454545454,0.7142857142857143,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7360365198711063,149,47,13,25,0.6578947368421053,0.7602040816326531
adapt72_high_focus,final_prob_high,acc,72,234,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,0.6006493506493507,20,8,20,24,0.5454545454545454,0.7142857142857143,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7360365198711063,149,47,13,25,0.6578947368421053,0.7602040816326531
adapt60_balanced,base_prob_high,bacc,60,246,0.48999999999999994,0.6,0.6,0.5555555555555556,0.5555555555555556,21,9,15,15,0.5,0.7,0.7398373983739838,0.708366375892149,0.5151515151515151,0.7487113402061856,148,46,18,34,0.6538461538461539,0.7628865979381443
adapt60_balanced,base_prob_high,acc,60,246,0.48999999999999994,0.6,0.6,0.5555555555555556,0.5555555555555556,21,9,15,15,0.5,0.7,0.7398373983739838,0.708366375892149,0.5151515151515151,0.7487113402061856,148,46,18,34,0.6538461538461539,0.7628865979381443
adapt60_balanced,final_prob_high,bacc,60,246,0.48999999999999994,0.6,0.6,0.5555555555555556,0.5555555555555556,21,9,15,15,0.5,0.7,0.7398373983739838,0.708366375892149,0.5151515151515151,0.7501982553528945,148,46,18,34,0.6538461538461539,0.7628865979381443
adapt60_balanced,final_prob_high,acc,60,246,0.48999999999999994,0.6,0.6,0.5555555555555556,0.5555555555555556,21,9,15,15,0.5,0.7,0.7398373983739838,0.708366375892149,0.5151515151515151,0.7501982553528945,148,46,18,34,0.6538461538461539,0.7628865979381443
adapt84_balanced,base_prob_high,bacc,84,222,0.48999999999999994,0.6309523809523809,0.6309523809523809,0.6075949367088608,0.6264172335600907,29,13,18,24,0.5714285714285714,0.6904761904761905,0.7432432432432432,0.6971153846153846,0.4672897196261682,0.7239010989010989,140,42,15,25,0.625,0.7692307692307693
adapt84_balanced,base_prob_high,acc,84,222,0.48999999999999994,0.6309523809523809,0.6309523809523809,0.6075949367088608,0.6264172335600907,29,13,18,24,0.5714285714285714,0.6904761904761905,0.7432432432432432,0.6971153846153846,0.4672897196261682,0.7239010989010989,140,42,15,25,0.625,0.7692307692307693
adapt84_balanced,final_prob_high,bacc,84,222,0.48999999999999994,0.6309523809523809,0.6309523809523809,0.6075949367088608,0.6264172335600907,29,13,18,24,0.5714285714285714,0.6904761904761905,0.7432432432432432,0.6971153846153846,0.4672897196261682,0.7255494505494505,140,42,15,25,0.625,0.7692307692307693
adapt84_balanced,final_prob_high,acc,84,222,0.48999999999999994,0.6309523809523809,0.6309523809523809,0.6075949367088608,0.6264172335600907,29,13,18,24,0.5714285714285714,0.6904761904761905,0.7432432432432432,0.6971153846153846,0.4672897196261682,0.7255494505494505,140,42,15,25,0.625,0.7692307692307693
adapt48_balanced,base_prob_high,bacc,48,258,0.58,0.5833333333333334,0.5833333333333334,0.2857142857142857,0.5277777777777778,24,0,20,4,0.16666666666666666,1.0,0.8062015503875969,0.5812068965517241,0.2857142857142857,0.7451724137931035,198,2,48,10,0.1724137931034483,0.99
adapt48_balanced,base_prob_high,acc,48,258,0.58,0.5833333333333334,0.5833333333333334,0.2857142857142857,0.5277777777777778,24,0,20,4,0.16666666666666666,1.0,0.8062015503875969,0.5812068965517241,0.2857142857142857,0.7451724137931035,198,2,48,10,0.1724137931034483,0.99
adapt48_balanced,final_prob_high,bacc,48,258,0.58,0.5833333333333334,0.5833333333333334,0.2857142857142857,0.5277777777777778,24,0,20,4,0.16666666666666666,1.0,0.8062015503875969,0.5812068965517241,0.2857142857142857,0.7466379310344827,198,2,48,10,0.1724137931034483,0.99
adapt48_balanced,final_prob_high,acc,48,258,0.58,0.5833333333333334,0.5833333333333334,0.2857142857142857,0.5277777777777778,24,0,20,4,0.16666666666666666,1.0,0.8062015503875969,0.5812068965517241,0.2857142857142857,0.7466379310344827,198,2,48,10,0.1724137931034483,0.99
adapt96_high_focus,base_prob_high,acc,96,210,0.33999999999999997,0.65625,0.5213472485768501,0.7870967741935484,0.6299810246679317,2,32,1,61,0.9838709677419355,0.058823529411764705,0.15714285714285714,0.5342105263157895,0.18433179723502305,0.7923684210526316,13,177,0,20,1.0,0.06842105263157895
adapt96_high_focus,final_prob_high,acc,96,210,0.33999999999999997,0.65625,0.5213472485768501,0.7870967741935484,0.6299810246679317,2,32,1,61,0.9838709677419355,0.058823529411764705,0.15714285714285714,0.5342105263157895,0.18433179723502305,0.793157894736842,13,177,0,20,1.0,0.06842105263157895
