group,n,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
overall,108,0.6222532263690268,0.5648148148148148,0.6001046389954656,0.8723404255319149,0.32786885245901637,0.5,0.6356589147286822,20,41,6,41
subtype:A,8,,0.375,0.375,0.0,0.375,0.0,0.0,3,5,0,0
subtype:AB,39,,0.358974358974359,0.358974358974359,0.0,0.358974358974359,0.0,0.0,14,25,0,0
subtype:B1,11,,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,1,10,0,0
subtype:B1_B2_mixed,1,,1.0,1.0,1.0,,1.0,1.0,0,0,0,1
subtype:B2,28,,0.7857142857142857,0.7857142857142857,0.7857142857142857,,1.0,0.88,0,0,6,22
subtype:B2_B3_mixed,3,,1.0,1.0,1.0,,1.0,1.0,0,0,0,3
subtype:B3,10,,1.0,1.0,1.0,,1.0,1.0,0,0,0,10
subtype:MNT_assumed_low,3,,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2,1,0,0
subtype:TC,5,,1.0,1.0,1.0,,1.0,1.0,0,0,0,5
domain:strict_external,108,0.6222532263690268,0.5648148148148148,0.6001046389954656,0.8723404255319149,0.32786885245901637,0.5,0.6356589147286822,20,41,6,41
